name,r,r_dc,r_units,gmr,gmr_units,radius,radius_units,normal_amps,emergency_amps
al_556_19str,0.116196,0.1139176470588235,km,0.822957,cm,1.087115,cm,619,743
al_336_19str,0.190761,0.1870205882352941,km,0.64008,cm,0.84582,cm,453,544
none,1E-9,9.803921568627451E-10,km,1E-9,cm,1E-9,cm,0,0
al_#2_7str,0.963125,0.9442401960784313,km,0.26924,cm,0.37084,cm,163,196
cu_#6_1str,1.485083,1.455963725490196,km,0.16002,cm,0.20574,cm,125,150
cu_#2_7str,0.599002,0.587256862745098,km,0.26924,cm,0.37084,cm,224,169
acsr_1/0_6/1,0.695936,0.6822901960784313,km,0.13462,cm,0.50546,cm,271,325
busbar,1E-6,9.803921568627451E-7,km,0.32258,cm,6.35,cm,2000,2400
al_4/0_7str,0.301986,0.2960647058823529,km,0.48006,cm,0.66294,cm,338,406
al_1/0_7str,0.604594,0.5927392156862745,km,0.33782,cm,0.46736,cm,218,262
